,dir_name,session_name,file_name,text,Annotation
0,M01,Session2,0020.txt,feed,Manual
1,M01,Session1,0055.txt,feed,Manual
3,M02,Session1,0007.txt,feed,Manual
4,M02,Session1,0116.txt,feed,Manual
5,MC04,Session2,0832.txt,[relax your mouth in its normal position],
6,MC04,Session2,0826.txt,hatch,
7,MC04,Session2,0749.txt,nine,
8,MC04,Session2,0991.txt,a few may be hard to find,
9,MC04,Session2,0761.txt,four,
10,MC04,Session2,0775.txt,the legislature met to judge the state of public education,
11,MC04,Session2,0946.txt,challenge each general's intelligence,
12,MC04,Session2,0952.txt,pat,
13,MC04,Session2,0953.txt,torn,
14,MC04,Session2,0947.txt,eyes,
15,MC04,Session2,0774.txt,punch,
16,MC04,Session2,0760.txt,ape,
17,MC04,Session2,0990.txt,cold,
18,MC04,Session2,0748.txt,the sun died at night,
19,MC04,Session2,0984.txt,had,
20,MC04,Session2,0827.txt,leak,
21,MC04,Session2,0833.txt,i wanted to be an actress,
22,MC04,Session2,0825.txt,hall,
24,MC04,Session2,0831.txt,ease,
25,MC04,Session2,0819.txt,fill,
26,MC04,Session2,0992.txt,weep,
27,MC04,Session2,0986.txt,wide,
28,MC04,Session2,0776.txt,sheet,
29,MC04,Session2,0762.txt,"i tell you, it was wonderful",
30,MC04,Session2,0951.txt,hail,
32,MC04,Session2,0789.txt,the lack of heat compounded the tenant's grievances,
33,MC04,Session2,0945.txt,wipe,
34,MC04,Session2,0979.txt,dock,
36,MC04,Session2,0978.txt,hold,
37,MC04,Session2,0944.txt,"when you are through, write a clean report",
38,MC04,Session2,0788.txt,fill,
39,MC04,Session2,0950.txt,the snow blew into large drifts,
40,MC04,Session2,0763.txt,tail,
41,MC04,Session2,0777.txt,pit,
42,MC04,Session2,0987.txt,it was time to go up myself,
43,MC04,Session2,0993.txt,tort,
44,MC04,Session2,0818.txt,ail,
45,MC04,Session2,0824.txt,lit,
47,MC04,Session2,0808.txt,the plot is laced with mysterious incidents,
48,MC04,Session2,0820.txt,ate,
49,MC04,Session2,0834.txt,peas,
50,MC04,Session2,0773.txt,six,
51,MC04,Session2,0767.txt,temper,
52,MC04,Session2,0997.txt,you have to expect a few bad calls,
53,MC04,Session2,0983.txt,the store serves meals every day,
54,MC04,Session2,0968.txt,whip,
56,MC04,Session2,0954.txt,hold,
57,MC04,Session2,0940.txt,was,
58,MC04,Session2,0798.txt,fat,
59,MC04,Session2,0799.txt,ache,
60,MC04,Session2,0941.txt,wine,
61,MC04,Session2,0955.txt,we're all disappointed with our start,
62,MC04,Session2,0969.txt,wax,
63,MC04,Session2,0982.txt,hat,
64,MC04,Session2,0996.txt,we got drenched from the uninterrupted rain,
65,MC04,Session2,0766.txt,beep,
66,MC04,Session2,0772.txt,the marriage went well from the start,
67,MC04,Session2,0835.txt,the singer's finger had a splinter,
68,MC04,Session2,0821.txt,wax,
69,MC04,Session2,0809.txt,row,
70,MC04,Session2,0837.txt,add,
71,MC04,Session2,0823.txt,bunch,
72,MC04,Session2,0764.txt,feet,
73,MC04,Session2,0770.txt,three,
74,MC04,Session2,0758.txt,i haven't seen that friend for years,
75,MC04,Session2,0980.txt,leak,
76,MC04,Session2,0994.txt,short,
77,MC04,Session2,0943.txt,tail,
78,MC04,Session2,0957.txt,luke,
79,MC04,Session2,0956.txt,hash,
80,MC04,Session2,0942.txt,wives,
81,MC04,Session2,0995.txt,sink,
82,MC04,Session2,0981.txt,born,
83,MC04,Session2,0771.txt,cheer,
84,MC04,Session2,0765.txt,spit,
85,MC04,Session2,0822.txt,at,
86,MC04,Session2,0836.txt,blend,
87,MC04,Session2,1024.txt,ship,
88,MC04,Session2,1018.txt,ink,
89,MC04,Session2,0892.txt,leap,
90,MC04,Session2,0886.txt,even a simple vocabulary contains symbols,
91,MC04,Session2,0676.txt,hail,
92,MC04,Session2,0662.txt,eight,
93,MC04,Session2,0689.txt,her classical performance gained critical acclaim,
94,MC04,Session2,0851.txt,aches,
95,MC04,Session2,0845.txt,cheese,
96,MC04,Session2,0879.txt,bun,
97,MC04,Session2,0702.txt,meat,
98,MC04,Session2,0716.txt,zero,
99,MC04,Session2,0925.txt,hall,
100,MC04,Session2,0931.txt,we knew we weren't doing well,
101,MC04,Session2,0919.txt,spring street is straight ahead,
102,MC04,Session2,0918.txt,sail,
103,MC04,Session2,0930.txt,burn,
104,MC04,Session2,0924.txt,pink,
105,MC04,Session2,0717.txt,cash,
106,MC04,Session2,0703.txt,ember,
107,MC04,Session2,0878.txt,steak,
108,MC04,Session2,0844.txt,be prepared for odd behavior from friends,
109,MC04,Session2,0850.txt,i had no desire to change my ways,
110,MC04,Session2,0688.txt,tender,
