Dir Name,Session Name,File Name,Text
F03,Session3,0173.txt,red
F03,Session3,0167.txt,sin
F03,Session3,0198.txt,"xxx
"
F03,Session3,0007.txt,People who value themselves are life's winners.
F03,Session3,0013.txt,geese
F03,Session3,0205.txt,zip
F03,Session3,0211.txt,spark
F03,Session3,0210.txt,sell
F03,Session3,0204.txt,lake
F03,Session3,0012.txt,write
F03,Session3,0006.txt,nice
F03,Session3,0199.txt,Help Greg to pick a peck of potatoes.
F03,Session3,0166.txt,fed
F03,Session3,0172.txt,The wait for work can be very long.
F03,Session3,0158.txt,brought
F03,Session3,0164.txt,sing
F03,Session3,0170.txt,leak
F03,Session3,0038.txt,Some hotels are available nearby.
F03,Session3,0010.txt,wicker
F03,Session3,0004.txt,rock
F03,Session3,0212.txt,"It's about
"
F03,Session3,0206.txt,nest
F03,Session3,0207.txt,ride
F03,Session3,0213.txt,input/images/story_starters_22.jpg
F03,Session3,0005.txt,shop
F03,Session3,0011.txt,night
F03,Session3,0039.txt,spit
F03,Session3,0171.txt,hill
F03,Session3,0165.txt,dart
F03,Session3,0159.txt,chip
F03,Session3,0161.txt,sip
F03,Session3,0175.txt,"xxx
"
F03,Session3,0149.txt,shoot
F03,Session3,0015.txt,blend
F03,Session3,0001.txt,Trespassers can be prosecuted and fined.
F03,Session3,0029.txt,"xxx
"
F03,Session3,0203.txt,sheet
F03,Session3,0202.txt,uniform
F03,Session3,0028.txt,knot
F03,Session3,0014.txt,blend
F03,Session3,0148.txt,shoot
F03,Session3,0174.txt,You want him to do well.
F03,Session3,0160.txt,yankee
F03,Session3,0176.txt,select
F03,Session3,0162.txt,"Night after night, they received annoying phone calls."
F03,Session3,0189.txt,spit
F03,Session3,0002.txt,"xxx
"
F03,Session3,0016.txt,sierra
F03,Session3,0200.txt,no
F03,Session3,0214.txt,"Help celebrate your brother's success
"
F03,Session3,0201.txt,wicked
F03,Session3,0017.txt,sierra
F03,Session3,0003.txt,sitter
F03,Session3,0188.txt,He wrapped the package hastily.
F03,Session3,0163.txt,knot
F03,Session3,0177.txt,"xxx
"
F03,Session3,0138.txt,slicker
F03,Session3,0110.txt,nice
F03,Session3,0104.txt,rock
F03,Session3,0058.txt,Each one volunteered to jump first.
F03,Session3,0064.txt,rid
F03,Session3,0070.txt,kilo
F03,Session3,0071.txt,tort
F03,Session3,0065.txt,There was only one decision to be made.
F03,Session3,0059.txt,tread
F03,Session3,0105.txt,You can ride stagecoach.
F03,Session3,0111.txt,shred
F03,Session3,0139.txt,court
F03,Session3,0107.txt,A good attitude is unbeatable.
F03,Session3,0113.txt,goat
F03,Session3,0073.txt,walk
F03,Session3,0067.txt,Each one volunteered to jump first.
F03,Session3,0098.txt,two
F03,Session3,0099.txt,The hotel owner shrugged.
F03,Session3,0066.txt,eat
F03,Session3,0072.txt,bed
F03,Session3,0112.txt,cash
F03,Session3,0106.txt,zulu
F03,Session3,0102.txt,[relax your mouth in its normal position]
F03,Session3,0116.txt,rest
F03,Session3,0076.txt,hat
F03,Session3,0062.txt,cork
F03,Session3,0089.txt,dead
F03,Session3,0088.txt,lee
F03,Session3,0063.txt,Some hotels are available nearby.
F03,Session3,0077.txt,bitter
F03,Session3,0117.txt,He is definitely a notch above us.
F03,Session3,0103.txt,dice
F03,Session3,0115.txt,rip
F03,Session3,0101.txt,I've kept it with me ever since.
F03,Session3,0129.txt,sink
F03,Session3,0061.txt,fork
F03,Session3,0075.txt,glitter
F03,Session3,0049.txt,geese
F03,Session3,0048.txt,In fact our whole defensive unit did a good job.
F03,Session3,0074.txt,at
F03,Session3,0060.txt,chair
F03,Session3,0128.txt,rock
F03,Session3,0100.txt,sew
F03,Session3,0114.txt,goat
F03,Session3,0119.txt,He is definitely a notch above us.
F03,Session3,0131.txt,rake
F03,Session3,0125.txt,bitten
F03,Session3,0079.txt,snake
F03,Session3,0045.txt,fed
F03,Session3,0051.txt,court
F03,Session3,0086.txt,sip
F03,Session3,0092.txt,zip
F03,Session3,0093.txt,papa
F03,Session3,0087.txt,neat
F03,Session3,0050.txt,Get a calico cat to keep.
F03,Session3,0044.txt,He asked you for a loan.
F03,Session3,0078.txt,three
F03,Session3,0124.txt,bitten
F03,Session3,0130.txt,The results were very disappointing.
F03,Session3,0118.txt,He is definitely a notch above us.
F03,Session3,0126.txt,in
F03,Session3,0132.txt,meats
F03,Session3,0052.txt,He took me out one day.
F03,Session3,0046.txt,nice
F03,Session3,0091.txt,red
F03,Session3,0085.txt,glitter
F03,Session3,0084.txt,There was only one decision to be made.
F03,Session3,0090.txt,Aluminum silverware can often be flimsy.
F03,Session3,0047.txt,It also provides for funds to clear slums and help colleges build dormitories.
F03,Session3,0053.txt,rise
F03,Session3,0133.txt,"The prospects of cupping
"
F03,Session3,0127.txt,We selected places where families will be welcome.
F03,Session3,0123.txt,Nobody really expects to evacuate.
F03,Session3,0137.txt,Critical equipment needs proper maintenance.
F03,Session3,0057.txt,said
F03,Session3,0043.txt,nice
F03,Session3,0094.txt,heart
F03,Session3,0080.txt,sew
F03,Session3,0081.txt,chop
F03,Session3,0095.txt,heart
F03,Session3,0042.txt,mill
F03,Session3,0056.txt,"This is a good place, though small."
F03,Session3,0136.txt,Young people participate in athletic activities.
F03,Session3,0122.txt,Nobody really expects to evacuate.
F03,Session3,0134.txt,The prospect of cutting back spending is an unpleasant one for any governor.
F03,Session3,0120.txt,sort
F03,Session3,0108.txt,best
F03,Session3,0040.txt,"xxx
"
F03,Session3,0054.txt,shoot
F03,Session3,0068.txt,and
F03,Session3,0083.txt,"It was only
"
F03,Session3,0097.txt,There was only one decision to be made.
F03,Session3,0096.txt,four
F03,Session3,0082.txt,Those musicians harmonize marvelously.
F03,Session3,0069.txt,sheet
F03,Session3,0055.txt,The results were very disappointing.
F03,Session3,0041.txt,Most young rise early every morning.
F03,Session3,0109.txt,four
F03,Session3,0121.txt,The pair of shoes was new.
F03,Session3,0135.txt,Etiquette mandates compliance with existing regulations.
F03,Session3,0152.txt,lock
F03,Session3,0146.txt,yes
F03,Session3,0191.txt,She wore wore fleecy over wooden wool oh
F03,Session3,0185.txt,goose
F03,Session3,0026.txt,meat
F03,Session3,0032.txt,The fish swam across the pond.
F03,Session3,0033.txt,quart
F03,Session3,0027.txt,back
F03,Session3,0184.txt,We bought a brown chair.
F03,Session3,0190.txt,"She wore a she
"
F03,Session3,0147.txt,up
F03,Session3,0153.txt,He further proposed grants of an unspecified sum for experimental hospitals.
F03,Session3,0179.txt,dice
F03,Session3,0145.txt,left
F03,Session3,0151.txt,ray
F03,Session3,0186.txt,goose
F03,Session3,0192.txt,"She wore warm, fleecy, woolen overalls."
F03,Session3,0019.txt,muck
F03,Session3,0031.txt,hold
F03,Session3,0025.txt,White-capped waves covered the entire bay.
F03,Session3,0024.txt,chip
F03,Session3,0030.txt,I'm willing to experiment for the first time.
F03,Session3,0018.txt,one
F03,Session3,0193.txt,hotel
F03,Session3,0187.txt,"He
"
F03,Session3,0150.txt,input/images/story_starters_3.jpg
F03,Session3,0144.txt,bill
F03,Session3,0178.txt,"xxx
"
F03,Session3,0140.txt,whisky
F03,Session3,0154.txt,nut
F03,Session3,0168.txt,see
F03,Session3,0183.txt,Some prefer the traditional steel kind.
F03,Session3,0197.txt,Being able to dance can help too.
F03,Session3,0034.txt,dress
F03,Session3,0020.txt,pit
F03,Session3,0008.txt,dread
F03,Session3,0009.txt,Travel is about the only leisure we have.
F03,Session3,0021.txt,sight
F03,Session3,0035.txt,bread
F03,Session3,0196.txt,side
F03,Session3,0182.txt,He played basketball there while working toward a law degree.
F03,Session3,0169.txt,tango
F03,Session3,0155.txt,fork
F03,Session3,0141.txt,whisky
F03,Session3,0157.txt,dress
F03,Session3,0143.txt,victor
F03,Session3,0194.txt,hotel
F03,Session3,0180.txt,catch
F03,Session3,0023.txt,She doesn't like to have it hanging around.
F03,Session3,0037.txt,"bird
"
F03,Session3,0209.txt,He further proposed grants of an unspecified sum for experimental hospitals.
F03,Session3,0208.txt,him
F03,Session3,0036.txt,"bird
"
F03,Session3,0022.txt,"She doesn't like it to have
"
F03,Session3,0181.txt,dread
F03,Session3,0195.txt,foe
F03,Session3,0142.txt,fork
F03,Session3,0156.txt,lend
F03,Session2,0007.txt,"If you destroy confidence in banks, you do something to the economy, he said."
F03,Session2,0013.txt,no
F03,Session2,0012.txt,rock
F03,Session2,0006.txt,"If you destroy confidence in banks, you do something to the economy, he said."
F03,Session2,0158.txt,"xxx
"
F03,Session2,0038.txt,much
F03,Session2,0010.txt,input/images/story_starters_17.jpg
F03,Session2,0004.txt,droop
F03,Session2,0005.txt,loop
F03,Session2,0011.txt,input/images/story_starters_16.jpg
F03,Session2,0039.txt,hate
F03,Session2,0159.txt,Swing your arm as high as you can.
F03,Session2,0149.txt,Carl lives in a lively home. 
F03,Session2,0015.txt,deer
F03,Session2,0001.txt,fear
F03,Session2,0029.txt,"Everything went real smooth, the sheriff said. "
F03,Session2,0028.txt,Where were you while we were away? 
F03,Session2,0014.txt,peer
F03,Session2,0148.txt,knitting
F03,Session2,0160.txt,"This is not a program of socialized medicine.
"
F03,Session2,0002.txt,know
F03,Session2,0016.txt,white
F03,Session2,0017.txt,Will Robin wear a yellow lily? 
F03,Session2,0003.txt,though
F03,Session2,0138.txt,hitting
F03,Session2,0110.txt,brawn
F03,Session2,0104.txt,sitting
F03,Session2,0058.txt,"If you are losing water, replace it immediately."
F03,Session2,0064.txt,leak
F03,Session2,0070.txt,fat
F03,Session2,0071.txt,blow
F03,Session2,0065.txt,fat
F03,Session2,0059.txt,yes
F03,Session2,0105.txt,witty
F03,Session2,0111.txt,"xxx
"
F03,Session2,0139.txt,"xxx
"
F03,Session2,0107.txt,bit
F03,Session2,0113.txt,five
F03,Session2,0073.txt,sergeant
F03,Session2,0067.txt,spain
F03,Session2,0098.txt,The museum hires musicians every evening.
F03,Session2,0099.txt,A roll of wire lay near the wall.
F03,Session2,0066.txt,lick
F03,Session2,0072.txt,We rode horseback to the farm.
F03,Session2,0112.txt,league
F03,Session2,0106.txt,sign
F03,Session2,0102.txt,mike
F03,Session2,0116.txt,lair
F03,Session2,0076.txt,park
F03,Session2,0062.txt,seven
F03,Session2,0089.txt,loyal
F03,Session2,0088.txt,part
F03,Session2,0063.txt,Day after day some new episode is reported.
F03,Session2,0077.txt,leak
F03,Session2,0117.txt,Nothing has been done yet to take advantage of the enabling legislation.
F03,Session2,0103.txt,city
F03,Session2,0115.txt,"liar
"
F03,Session2,0101.txt,Alimony harms a divorced man's wealth.
F03,Session2,0129.txt,dark
F03,Session2,0061.txt,take
F03,Session2,0075.txt,quebec
F03,Session2,0049.txt,slay
F03,Session2,0048.txt,group
F03,Session2,0074.txt,rich
F03,Session2,0060.txt,cart
F03,Session2,0128.txt,six
F03,Session2,0100.txt,no
F03,Session2,0114.txt,eight
F03,Session2,0119.txt,sigh
F03,Session2,0131.txt,The dolphins swam around our boat.
F03,Session2,0125.txt,reek
F03,Session2,0079.txt,thought
F03,Session2,0045.txt,knot
F03,Session2,0051.txt,snoop
F03,Session2,0086.txt,him
F03,Session2,0092.txt,The box contained three sweaters.
F03,Session2,0093.txt,golf
F03,Session2,0087.txt,Both injuries were to the same leg.
F03,Session2,0050.txt,root
F03,Session2,0044.txt,near
F03,Session2,0078.txt,written
F03,Session2,0124.txt,spit
F03,Session2,0130.txt,The dolphins swam around our boat.
F03,Session2,0118.txt,Nothing has been done yet to take advantage of the enabling legislation.
F03,Session2,0126.txt,nine
F03,Session2,0132.txt,There is a treehouse up above.
F03,Session2,0052.txt,forward
F03,Session2,0046.txt,sparkle
F03,Session2,0091.txt,much
F03,Session2,0085.txt,I expect we'll bounce back this week.
F03,Session2,0084.txt,hem
F03,Session2,0090.txt,oscar
F03,Session2,0047.txt,sprinkle
F03,Session2,0053.txt,four
F03,Session2,0133.txt,It eventually became a rather proud claim.
F03,Session2,0127.txt,side
F03,Session2,0123.txt,spit
F03,Session2,0137.txt,start
F03,Session2,0057.txt,write
F03,Session2,0043.txt,I tried to tell people in the community.
F03,Session2,0094.txt,hum
F03,Session2,0080.txt,The little schoolhouse stood empty.
F03,Session2,0081.txt,him
F03,Session2,0095.txt,leak
F03,Session2,0042.txt,slip
F03,Session2,0056.txt,here
F03,Session2,0136.txt,pit
F03,Session2,0122.txt,I have had my bell rung.
F03,Session2,0134.txt,mitten
F03,Session2,0120.txt,fitting
F03,Session2,0108.txt,kitten
F03,Session2,0040.txt,three
F03,Session2,0054.txt,"Mother sews yellow
"
F03,Session2,0068.txt,shy
F03,Session2,0083.txt,and
F03,Session2,0097.txt,"xxx
"
F03,Session2,0096.txt,seed
F03,Session2,0082.txt,seeds
F03,Session2,0069.txt,echo
F03,Session2,0055.txt,Mother sews yellow gingham aprons.
F03,Session2,0041.txt,slip
F03,Session2,0109.txt,hark
F03,Session2,0121.txt,thorn
F03,Session2,0135.txt,barn
F03,Session2,0152.txt,tell
F03,Session2,0146.txt,foxtrot
F03,Session2,0026.txt,side
F03,Session2,0032.txt,Two other cases also were under advisement. 
F03,Session2,0033.txt,"Two other cases were also under advisement.
"
F03,Session2,0027.txt,delta
F03,Session2,0147.txt,The misguided souls have lost their way.
F03,Session2,0153.txt,It was a good win for us.
F03,Session2,0145.txt,foxtrot
F03,Session2,0151.txt,fill
F03,Session2,0019.txt,floor
F03,Session2,0031.txt,Two other cases also were under advisement. 
F03,Session2,0025.txt,briar
F03,Session2,0024.txt,"xxx
"
F03,Session2,0030.txt,pot
F03,Session2,0018.txt,play
F03,Session2,0150.txt,vat
F03,Session2,0144.txt,harp
F03,Session2,0140.txt,hitting
F03,Session2,0154.txt,witch
F03,Session2,0034.txt,pay
F03,Session2,0020.txt,The islands are sparsely populated.
F03,Session2,0008.txt,You'd be better off taking a cold shower.
F03,Session2,0009.txt,cheer
F03,Session2,0021.txt,Bright sunshine shimmers on the ocean. 
F03,Session2,0035.txt,charlie
F03,Session2,0155.txt,juliet
F03,Session2,0141.txt,"Before Thursday's exam, review every formula."
F03,Session2,0157.txt,pretty
F03,Session2,0143.txt,The books are very expensive.
F03,Session2,0023.txt,single
F03,Session2,0037.txt,Both figures would go higher in later years.
F03,Session2,0036.txt,thigh
F03,Session2,0022.txt,jungle
F03,Session2,0142.txt,Students watched as he got out.
F03,Session2,0156.txt,zero
F03,Session1,0173.txt,"whoop
"
F03,Session1,0167.txt,"She is thinner than I am.
"
F03,Session1,0198.txt,"urgent
"
F03,Session1,0007.txt,"stubble
"
F03,Session1,0013.txt,"knew
"
F03,Session1,0204.txt,"ate
"
F03,Session1,0012.txt,"Well, he is nearly ninety-three years old."
F03,Session1,0006.txt,"stubble
"
F03,Session1,0199.txt,"tie
"
F03,Session1,0166.txt,"boot
"
F03,Session1,0172.txt,"mere
"
F03,Session1,0158.txt,"lip
"
F03,Session1,0164.txt,"sigh
"
F03,Session1,0170.txt,"All the big baseball players get traded.
"
F03,Session1,0038.txt,"air
"
F03,Session1,0010.txt,"form
"
F03,Session1,0004.txt,"[say Pah-Tah-Kah repeatedly]
"
F03,Session1,0005.txt,"beta
"
F03,Session1,0011.txt,"She had your dark suit in greasy wash water all year.
"
F03,Session1,0039.txt,"chair
"
F03,Session1,0171.txt,"write
"
F03,Session1,0165.txt,"yes
"
F03,Session1,0159.txt,"bear
"
F03,Session1,0161.txt,"mut
"
F03,Session1,0175.txt,You're used to being on the field.
F03,Session1,0149.txt,"[relax your mouth in its normal position]
"
F03,Session1,0015.txt,"alpha
"
F03,Session1,0001.txt,"[say Ah-P-Eee repeatedly]
"
F03,Session1,0029.txt,"[say Ah for 5 seconds]
"
F03,Session1,0203.txt,"bat
"
F03,Session1,0202.txt,"rocks
"
F03,Session1,0028.txt,"We have often urged him to walk more and smoke less,
"
F03,Session1,0014.txt,"sip
"
F03,Session1,0148.txt,"Nothing is as offensive as innocence.
"
F03,Session1,0174.txt,"Why yell or worry over silly items?
"
F03,Session1,0160.txt,"coupe
"
F03,Session1,0176.txt,"dot
"
F03,Session1,0162.txt,"fate
"
F03,Session1,0189.txt,"galore
"
F03,Session1,0002.txt,"[say Eee-P-Ah repeatedly]
"
F03,Session1,0016.txt,"swarm
"
F03,Session1,0200.txt,"suit
"
F03,Session1,0201.txt,"air
"
F03,Session1,0017.txt,"jacket
"
F03,Session1,0003.txt,"[relax your mouth in its normal position]
"
F03,Session1,0188.txt,"One validated acts of school districts.
"
F03,Session1,0163.txt,"tear [as in tear in my eye]
"
F03,Session1,0177.txt,"error
"
F03,Session1,0138.txt,we're
F03,Session1,0110.txt,"up
"
F03,Session1,0104.txt,"beat
"
F03,Session1,0058.txt,"horn
"
F03,Session1,0064.txt,"one
"
F03,Session1,0070.txt,"giving those who observe him a pronounced feeling of the utmost respect.
"
F03,Session1,0071.txt,"trait
"
F03,Session1,0065.txt,"rave
"
F03,Session1,0059.txt,"rake
"
F03,Session1,0105.txt,"swarm
"
F03,Session1,0111.txt,"warm
"
F03,Session1,0139.txt,"back
"
F03,Session1,0107.txt,"The quick brown fox jumps over the lazy dog.
"
F03,Session1,0113.txt,"sip
"
F03,Session1,0073.txt,"knee
"
F03,Session1,0067.txt,gnaw
F03,Session1,0098.txt,"raid
"
F03,Session1,0099.txt,"slip
"
F03,Session1,0066.txt,"bubble
"
F03,Session1,0072.txt,"he slowly takes a short walk in the open air each day.
"
F03,Session1,0112.txt,"left
"
F03,Session1,0106.txt,"beat
"
F03,Session1,0102.txt,"the
"
F03,Session1,0116.txt,Usually minus several buttons
F03,Session1,0076.txt,"born
"
F03,Session1,0062.txt,"rain
"
F03,Session1,0089.txt,"read [as in I can read]
"
F03,Session1,0088.txt,"input/images/story_starters_15.jpg
"
F03,Session1,0063.txt,"gadget
"
F03,Session1,0077.txt,"go
"
F03,Session1,0117.txt,"chair
"
F03,Session1,0103.txt,"[say Eee in a very high pitch]
"
F03,Session1,0115.txt,"yet he still thinks as swiftly as ever.
"
F03,Session1,0101.txt,"[relax your mouth in its normal position]
"
F03,Session1,0129.txt,"bad
"
F03,Session1,0061.txt,"dagger
"
F03,Session1,0075.txt,"he dresses himself in an ancient black frock coat,
"
F03,Session1,0049.txt,"yes
"
F03,Session1,0048.txt,"park
"
F03,Session1,0074.txt,"dark
"
F03,Session1,0060.txt,"floor
"
F03,Session1,0128.txt,"select
"
F03,Session1,0100.txt,"[relax your mouth in its normal position]
"
F03,Session1,0114.txt,"knew
"
F03,Session1,0119.txt,"warm
"
F03,Session1,0131.txt,"pat
"
F03,Session1,0125.txt,"fee
"
F03,Session1,0079.txt,"race
"
F03,Session1,0045.txt,"ship
"
F03,Session1,0051.txt,"rage
"
F03,Session1,0086.txt,"sticks
"
F03,Session1,0092.txt,"swore
"
F03,Session1,0093.txt,"car
"
F03,Session1,0087.txt,"storm
"
F03,Session1,0050.txt,"feet
"
F03,Session1,0044.txt,"sheet
"
F03,Session1,0078.txt,"bit
"
F03,Session1,0124.txt,"feed
"
F03,Session1,0130.txt,"gnaw
"
F03,Session1,0118.txt,"no
"
F03,Session1,0126.txt,"dug
"
F03,Session1,0132.txt,"pile
"
F03,Session1,0052.txt,"feed
"
F03,Session1,0046.txt,bag
F03,Session1,0091.txt,"tip
"
F03,Session1,0085.txt,"trouble
"
F03,Session1,0084.txt,"double
"
F03,Session1,0090.txt,"jagged
"
F03,Session1,0047.txt,"bug
"
F03,Session1,0053.txt,"You wished to know all about my grandfather.
"
F03,Session1,0133.txt,"bad
"
F03,Session1,0127.txt,"storm
"
F03,Session1,0123.txt,"[say OA as in cOAt in a very low pitch]
"
F03,Session1,0137.txt,"suit
"
F03,Session1,0057.txt,"train
"
F03,Session1,0043.txt,"right
"
F03,Session1,0094.txt,"feet
"
F03,Session1,0080.txt,"store
"
F03,Session1,0081.txt,"torn
"
F03,Session1,0095.txt,"When he speaks, his voice is just a bit cracked and quivers a trifle.
"
F03,Session1,0042.txt,"lead [as in I will lead you]
"
F03,Session1,0056.txt,"stick
"
F03,Session1,0136.txt,"of
"
F03,Session1,0122.txt,"[say OA as in cOAt in a very low pitch]
"
F03,Session1,0134.txt,"shear
"
F03,Session1,0120.txt,"meat
"
F03,Session1,0108.txt,"air
"
F03,Session1,0040.txt,"sip
"
F03,Session1,0054.txt,"bat
"
F03,Session1,0068.txt,"range
"
F03,Session1,0083.txt,"corn
"
F03,Session1,0097.txt,"pat
"
F03,Session1,0096.txt,Don't ask me to carry an oily rag like that.
F03,Session1,0082.txt,"share
"
F03,Session1,0069.txt,"down
"
F03,Session1,0055.txt,"Grandfather likes to be modern in his language.
"
F03,Session1,0041.txt,"two
"
F03,Session1,0109.txt,"farm
"
F03,Session1,0121.txt,"but he always answers, Banana oil!
"
F03,Session1,0135.txt,"I looked up and noticed two old men.
"
F03,Session1,0152.txt,"This was easy for us.
"
F03,Session1,0146.txt,"sigh
"
F03,Session1,0191.txt,"menu
"
F03,Session1,0185.txt,"My sister made the flowered curtains.
"
F03,Session1,0026.txt,"grow
"
F03,Session1,0032.txt,"fair
"
F03,Session1,0033.txt,"weed
"
F03,Session1,0027.txt,"know
"
F03,Session1,0184.txt,"The humidity is overwhelming there.
"
F03,Session1,0190.txt,"We gathered shells on the beach.
"
F03,Session1,0147.txt,"troop
"
F03,Session1,0153.txt,"wish
"
F03,Session1,0179.txt,"He will allow a rare lie.
"
F03,Session1,0145.txt,"fruit
"
F03,Session1,0151.txt,"light
"
F03,Session1,0186.txt,"explore
"
F03,Session1,0192.txt,"knew
"
F03,Session1,0019.txt,"[say Ah for 5 seconds]
"
F03,Session1,0031.txt,"Except in the winter when the ooze or snow or ice prevents,
"
F03,Session1,0025.txt,"Twice each day he plays skillfully and with zest upon our small organ.
"
F03,Session1,0024.txt,"Twice each day he plays skillfully and with zest upon our little organ.
"
F03,Session1,0030.txt,Except in the winter when the ozone or snow or ice prevents.
F03,Session1,0018.txt,"rate
"
F03,Session1,0193.txt,"sigh
"
F03,Session1,0187.txt,"hear
"
F03,Session1,0150.txt,"The train approached the depot slowly.
"
F03,Session1,0144.txt,"I scrubbed the floors thoroughly.
"
F03,Session1,0178.txt,"tile
"
F03,Session1,0140.txt,"steer
"
F03,Session1,0154.txt,"shoot
"
F03,Session1,0168.txt,"Their house is grey and white.
"
F03,Session1,0183.txt,"cycle
"
F03,Session1,0197.txt,"sway
"
F03,Session1,0034.txt,"spark
"
F03,Session1,0020.txt,"tear [as in tear up that paper]
"
F03,Session1,0008.txt,"trace
"
F03,Session1,0009.txt,"goat
"
F03,Session1,0021.txt,"trade
"
F03,Session1,0035.txt,"read [as in I can read]
"
F03,Session1,0196.txt,"They carried me off on the stretcher.
"
F03,Session1,0182.txt,Are your grades higher or lower than Nancy's?
F03,Session1,0169.txt,"toot
"
F03,Session1,0155.txt,"prior
"
F03,Session1,0141.txt,"Jane may earn more money by working hard.
"
F03,Session1,0157.txt,"I feel I can play this weekend.
"
F03,Session1,0143.txt,"ate
"
F03,Session1,0194.txt,"I just try to do my best.
"
F03,Session1,0180.txt,"pad
"
F03,Session1,0023.txt,"input/images/kitchen.jpg
"
F03,Session1,0037.txt,"A long, flowing beard clings to his chin,
"
F03,Session1,0036.txt,"hair
"
F03,Session1,0022.txt,"for
"
F03,Session1,0181.txt,"sleep
"
F03,Session1,0195.txt,"I was conscious all the time.
"
F03,Session1,0142.txt,"Just one side got wet.
"
F03,Session1,0156.txt,"witch
"
F04,Session2,0173.txt,yes
F04,Session2,0167.txt,quebec
F04,Session2,0198.txt,"harm
"
F04,Session2,0007.txt,play
F04,Session2,0013.txt,All the big baseball players get traded.
F04,Session2,0239.txt,knot
F04,Session2,0205.txt,park
F04,Session2,0211.txt,sin
F04,Session2,0210.txt,shell
F04,Session2,0204.txt,juliet
F04,Session2,0238.txt,ham
F04,Session2,0012.txt,"xxx
"
F04,Session2,0006.txt,prior
F04,Session2,0199.txt,harp
F04,Session2,0166.txt,top
F04,Session2,0172.txt,"Before Thursday's exam, review every formula."
F04,Session2,0158.txt,hark
F04,Session2,0164.txt,echo
F04,Session2,0170.txt,"She wore warm, fleecy, woolen overalls."
F04,Session2,0038.txt,peer
F04,Session2,0010.txt,shear
F04,Session2,0004.txt,Will Robin wear a yellow lily? 
F04,Session2,0212.txt,knot
F04,Session2,0206.txt,The books are very expensive.
F04,Session2,0207.txt,Did dad do academic bidding?
F04,Session2,0213.txt,ticker
F04,Session2,0005.txt,I was conscious all the time.
F04,Session2,0011.txt,suit
F04,Session2,0039.txt,lip
F04,Session2,0171.txt,vat
F04,Session2,0165.txt,[relax your mouth in its normal position]
F04,Session2,0159.txt,The job provides many benefits.
F04,Session2,0161.txt,"xxx
"
F04,Session2,0175.txt,sigh
F04,Session2,0149.txt,Students watched as he got out.
